név;év;célpont;legénység;sikeres;leírás;költség (mrd USD);hasznos teher (kg)
Apollo 11;1969;Hold;3;Igen;Első emberes holdraszállás;25,4;4536
Apollo 13;1970;Hold;3;Nem;Sikertelen holdmisszió, kényszer-visszatérés;4,4;4536
Viking 1;1975;Mars;0;Igen;Első sikeres Mars leszállás és felszíni vizsgálat;1,0;572
Voyager 1;1977;Csillagközi tér;0;Igen;Naprendszert elhagyó űrszonda, mélyűr kutatás;0,865;825
STS-51-L Challenger;1986;Föld körüli pálya;7;Nem;Sikertelen űrrepülőgép-küldetés, kilövés utáni katasztrófa;1,2;24000
Hubble Űrtávcső;1990;Föld körüli pálya;5;Igen;Űrtávcső telepítése és üzembe helyezése;4,7;11110
Mars Pathfinder;1996;Mars;0;Igen;Első sikeres Mars rover küldetés;0,28;870
ISS Expedíció 1;2000;Nemzetközi Űrállomás;3;Igen;Az ISS első hosszú távú legénysége;20;20000
Spirit Rover;2003;Mars;0;Igen;Mars felszínének geológiai vizsgálata;0,4;185
Opportunity Rover;2003;Mars;0;Igen;Hosszú élettartamú Mars rover küldetés;0,4;185
Curiosity Rover;2012;Mars;0;Igen;Mars felszínének és éghajlatának vizsgálata;2,5;899
Artemis I;2022;Hold;0;Igen;Ember nélküli tesztküldetés a Hold körül;30;26000
James Webb Űrtávcső;2021;Lagrange-pont (L2);0;Igen;Infravörös űrtávcső a világegyetem korai szakaszának vizsgálatára;10;6200
Psyche;2023;Aszteroida öv;0;Igen;Fémből álló aszteroida vizsgálata;0,985;2800
Juno;2011;Jupiter;0;Igen;A Jupiter magnetoszférájának és atmoszférájának tanulmányozása;1,1;3625
New Horizons;2006;Pluto és Kuiper-öv;0;Igen;Első űrszonda a Plutóhoz és a Kuiper-öv objektumaihoz;0,7;478
Parker Solar Probe;2018;Nap;0;Igen;A Nap koronájának közvetlen vizsgálata;1,5;685
Perseverance Rover;2020;Mars;0;Igen;Mars mintagyűjtés és élet nyomai utáni kutatás;2,7;1025
Lucy;2021;Jupiter trójai aszteroidák;0;Igen;Az ősi aszteroidák vizsgálata a Naprendszer kialakulásának megértéséhez;0,98;1550
DAVINCI+;2029;Vénusz;0;Tervezett;A Vénusz légkörének részletes elemzése;0,5;900
Mariner 2;1962;Vénusz;0;Igen;Első sikeres bolygóközeli küldetés, adatokat gyűjtött a Vénuszról;0,08;202
Surveyor 1;1966;Hold;0;Igen;Első sikeres amerikai holdi leszállás;0,47;995
Apollo 12;1969;Hold;3;Igen;Második emberes holdraszállás, célzott leszállás a Surveyor 3 közelében;25,4;4536
Apollo 17;1972;Hold;3;Igen;Az utolsó emberes holdmisszió, hosszabb felszíni kutatás;25,4;4536
Pioneer 10;1972;Jupiter;0;Igen;Első szonda, amely elérte a Jupitert és elhagyta a Naprendszert;0,35;258
Pioneer 11;1973;Jupiter, Szaturnusz;0;Igen;Első szonda, amely közel repült a Szaturnuszhoz;0,4;259
Voyager 2;1977;Jupiter, Szaturnusz, Uránusz, Neptunusz;0;Igen;Egyedüli szonda, amely négy gázóriást vizsgált;0,865;825
Magellan;1989;Vénusz;0;Igen;Vénusz radartérképezése;0,55;1035
Galileo;1989;Jupiter;0;Igen;Első szonda, amely körpályára állt a Jupiter körül;1,6;2223
Mars Climate Orbiter;1998;Mars;0;Nem;A Mars légkörének vizsgálata, de hibás számítás miatt elveszett;0,33;629
Mars Polar Lander;1999;Mars;0;Nem;Sikertelen leszállási kísérlet a Mars déli sarkvidékén;0,17;583
Genesis;2001;Naprendszer;0;Részben;A Nap szeléből mintákat gyűjtött, de visszatéréskor lezuhant;0,26;636
Mars Reconnaissance Orbiter;2005;Mars;0;Igen;Nagyfelbontású képek készítése a Mars felszínéről;0,72;1031
Dawn;2007;Aszteroida öv;0;Igen;Első szonda, amely keringett egy aszteroida (Vesta) és egy törpebolygó (Ceres) körül;0,47;1240
Kepler Űrtávcső;2009;Exobolygók keresése;0;Igen;Több ezer exobolygó felfedezése a Tejútrendszerben;0,67;1039
GRAIL;2011;Hold;0;Igen;A Hold gravitációs térképének elkészítése;0,5;307
TESS;2018;Exobolygók keresése;0;Igen;Exobolygók keresése a közeli csillagok körül;0,2;362
OSIRIS-REx;2016;Aszteroida Bennu;0;Igen;Aszteroida-mintagyűjtés és visszahozatal a Földre;0,8;2110
Europa Clipper;2024;Jupiter holdja, Europa;0;Tervezett;Az Europa jeges felszínének és óceánjának vizsgálata;4,25;6000
Dragonfly;2027;Titán (Szaturnusz holdja);0;Tervezett;Drónmisszió a Titán légkörében és felszínén;1,0;450
Viking 1;1975;Mars;0;Igen;Első sikeres Mars leszállóegység;1,0;1006
Viking 2;1975;Mars;0;Igen;Második sikeres Mars leszállóegység;1,0;1006
Hubble Űrtávcső;1990;Föld körüli pálya;0;Igen;Űrtávcső, amely forradalmasította a csillagászatot;2,5;11110
Mars Pathfinder;1996;Mars;0;Igen;Az első marsjárót szállította (Sojourner);0,28;264
Spirit (MER-A);2003;Mars;0;Igen;Hosszú életű Mars-járó, 2004-2010 között működött;0,82;185
Opportunity (MER-B);2003;Mars;0;Igen;Rekordot döntött a legtávolabb haladó marsjáróként (45 km);0,82;185
New Horizons;2006;Plútó, Kuiper-öv;0;Igen;Az első szonda, amely meglátogatta a Plútót;0,7;478
Juno;2011;Jupiter;0;Igen;Részletes adatok a Jupiter atmoszférájáról és mágneses teréről;1,1;3625
Curiosity;2011;Mars;0;Igen;Nukleáris hajtású marsjáró, amely felfedezte, hogy a Mars valaha lakható lehetett;2,5;899
Parker Solar Probe;2018;Nap;0;Igen;A Nap koronájának közvetlen vizsgálata;1,5;685
